Datum des Eintrags,Stockname,Standortname,Brutraumzargenformat,Honigraumzargenformat,Beutentyp,Stocktyp,Position am Stand,Notizen Stock,Notizen Eintrag,Sichtungen,Weiselzellen,Bebrütete Waben,Besetzte Waben,Leerwaben (gegeben/genommen),Mittelwände (gegeben/genommen),Brutwaben (gegeben/genommen),Futterwaben (gegeben/genommen),Baurahmen (gegeben/genommen),Zählmethode,Gezählte Milben,Zählzeitraum (Tage),Medikament,Anwendungsmethode,Biotechnische Maßnahme,Medikamentenmenge,Behandlungsdauer,Behandelnde Person,Bewertung Volksstärke,Bewertung Sanftmut,Bewertung Schwarmtrieb,Bewertung Wabensitz,Bewertung Futtermenge,Ernte,Ernte Rähmchenanzahl,Geerntete Menge (kg),Honigtyp,Futtertyp,Futtermenge,Gewicht,Wiegemethode
03.05.25 12:00,Volk 3,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,im Juni 2025 vermutlich still umgeweiselt,"Sehr viel Honig in Brutraum2
2 Brutwaben für Ableger 5 ohne Weiselzelle entnommen
Weiselzellen entfernt
Drohnenrahmen gut ausgebaut
Honigraum wenig eingelagert
Honigwaben in 1. Brutraum umgesetzt, in der Hoffnung, dass Brut in Brutraum 2 ""verlagert"" wird",Stifte; Larven; Verdeckelte Brut; Weiselzellen,,,,,,-2,,,,,,,,,,,,,,,,3.0,Nein,,,,,,,
03.05.25 12:00,Volk 4,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,vermutlich im Juni 2025 umgeweiselt,"Brutwabe mit Weiselzelle für Ableger 6 entnommen
Weiselzellen zerstört
Drohnenrahmen gut ausgebaut, nicht geschnitten
Honigraum ok",Stifte; Larven; Verdeckelte Brut; Weiselzellen,,,,,,,,,,,,,,,,,,,,,,2.0,Nein,,,,,,,
03.05.25 12:00,Volk 6,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,03.05.2025 Ableger gebildet,"Ableger mit 1 Futter- und 1 Brutwabe aus Volk 4 gebildet
Volk nach Hause genommen",,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,,
03.05.25 12:00,Volk 2,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,ca 30.05.2025 umgeweiselt,"Nur Kippkontrolle
Spielnäpfchen entfernt
Drohnenrahmen gut ausgebaut
Honigraum gut angenommen",Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,,
03.05.25 13:00,Volk 5,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,03.05.2025 Ableger gebildet,"1 Futterwabe und 2 Brutwaben aus Volk genommen und Ableger gebildet
Volk mit nach Hause genommen",,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,,
11.05.25 12:00,Volk 4,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,vermutlich im Juni 2025 umgeweiselt,"Königin für Königinnenableger - Ableger 8 - entnommen
1 Futter- und 1 Brutwabe für Ableger 8 entnommen
Honigraum gut
Weiselzellen bis auf 2 zerstört",Königin; Stifte; Larven; Verdeckelte Brut; Weiselzellen,,,,,,-1,-1,,,,,,,,,,,,,,,2.0,Nein,,,,,,,
11.05.25 12:00,Volk 2,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,ca 30.05.2025 umgeweiselt,"Viel Honigwaben in 2. Brutraum
1 Futterwabe für Ableger 7 entnommen
1 Brutwabe mit Weiselzelle für Ableger 7 entnommen
Honigraum 50%
Schieber entnommen, da unter Deckel nass und schimmelig",Stifte; Larven; Verdeckelte Brut; Weiselzellen,,,,,,-1,-1,,,,,,,Drohnenbrutschneiden,,,,2.0,,,,2.0,Nein,,,,,,,
11.05.25 12:00,Volk 8,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Sonstiges,,"11.05.2025 Königinnenableger
Evtl 2025 still umgeweiselt?",Ableger 8 mit Futter- und Brutwabe aus Volk 4 gebildet - Königinnenableger,,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,,
11.05.25 12:00,Volk 7,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,"11.05.2025 Ableger gebildet
25.06.2025 Neustart mit Königin aus Zuchtstoff von Belegstelle.",Ableger 7 mit Futter- und Brutwabe gebildet und nach Hause genommen,,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,,
11.05.25 12:00,Volk 3,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,im Juni 2025 vermutlich still umgeweiselt,"Viel Honigwaben in 2. Brutraum
Weiselzellen zerstört
Honigraum eher schwach eingetragen",Stifte; Larven; Verdeckelte Brut; Weiselzellen,,,,,,,,,,,,,,Drohnenbrutschneiden,,,,,,,,,Nein,,,,,,,
17.05.25 12:00,Volk 3,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,im Juni 2025 vermutlich still umgeweiselt,"Honigraum max 20%
Weiselzellen zerstört
Unter Deckel schimmelig - Schieber entfernt",Stifte; Larven; Verdeckelte Brut; Weiselzellen,,,,,,,,,,,,,,,,,,,,,,2.0,Nein,,,,,,,
17.05.25 12:00,Volk 8,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Sonstiges,,"11.05.2025 Königinnenableger
Evtl 2025 still umgeweiselt?","vor 1 Woche dieses Volk mit Königinnenableger gebildet
wenig Brut",Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,,,,,0.0,,,,2.0,Nein,,,,,,,
17.05.25 12:00,Volk 2,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,ca 30.05.2025 umgeweiselt,"Weiselzellen zerstört
Honigraum ca 20%
unter Deckel schimmelig - Schieber entfernt",Stifte; Larven; Verdeckelte Brut; Weiselzellen,,,,,,,,,,,,,,,,,,,,,,2.0,Nein,,,,,,,
17.05.25 13:00,Volk 4,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,vermutlich im Juni 2025 umgeweiselt,"4 Weiselzellen gelassen verdeckelt vorhanden
Honigraum wenig eingetragen
unter Deckel schimmelig - Schieber entfernt",Verdeckelte Brut; Weiselzellen,,,,,,,,,,,,,,,,,,,,,,2.0,Nein,,,,,,,
17.05.25 21:40,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.",Honigraum Halbzarge gegeben da voll,Stifte; Larven; Verdeckelte Brut,,2,5,,,,,,,,,,,,,,,,,,,,Nein,,,,,,,
24.05.25 12:00,Volk 2,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,ca 30.05.2025 umgeweiselt,"Honigraum Halbzarge
Brutraum 1 und 2 getauscht, da extrem viel Honig im Brutraum",,,,,,,,,,,,,,,,,,,,,,,,Ja,7,,Frühtracht,,,,
24.05.25 12:00,Volk 4,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,vermutlich im Juni 2025 umgeweiselt,,,,,,,,,,,,,,,,,,,,,,,,,Ja,5,,Frühtracht,,,,
24.05.25 12:00,Volk 6,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,03.05.2025 Ableger gebildet,"Königin gekennzeichnet
Volk auf 2 Futterwaben und 4 Brutwaben",Königin,,,,,,,,,,,,,,,,,,,,,,1.0,Nein,,,,,,,
24.05.25 12:00,Volk 5,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,03.05.2025 Ableger gebildet,"Königin gekennzeichnet
Volk auf 2 Futterwaben und 5 Brutwaben",Königin; Stifte,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,,
24.05.25 12:00,Volk 3,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,im Juni 2025 vermutlich still umgeweiselt,Honigraum Halbzarge,,,,,,,,,,,,,,,,,,,,,,,,Ja,5,,Frühtracht,,,,
24.05.25 12:00,Volk 8,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Sonstiges,,"11.05.2025 Königinnenableger
Evtl 2025 still umgeweiselt?","Königin ohne Kennzeichnung gesehen...
Alte Marke verloren, oder still umgeweiselt?
wenig Brut und Eier",Königin; Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,,
24.05.25 21:40,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.",,,,,,,,,,,,,,,,,,,,,,,,,Ja,7,,Frühtracht,,,,
30.05.25 12:00,Volk 4,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,vermutlich im Juni 2025 umgeweiselt,"keine Königin gesehen
keine Brut
offene Weiselzellen
Honig auch in Drohnenrahmen mit eingelagert",Weiselzellen,,,,,,,,,,,,,,Drohnenbrutschneiden,,,,,,,,2.0,Nein,,,,,,,
30.05.25 12:00,Volk 3,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,im Juni 2025 vermutlich still umgeweiselt,Absperrgitter drin,Stifte; Verdeckelte Brut,,,,,,,,,,,,,,,,,,,,,,2.0,Nein,,,,,,,
30.05.25 12:00,Volk 8,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Sonstiges,,"11.05.2025 Königinnenableger
Evtl 2025 still umgeweiselt?",Volk auf 4 Rähmchen,Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,,,,,,,,,1.0,Nein,,,,,,,
30.05.25 12:00,Volk 2,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,ca 30.05.2025 umgeweiselt,"keine frische Brut
Königin nicht gesehen
Weiselzelle gelassen
Absperrgitter drin",Verdeckelte Brut; Weiselzellen,,,,,,,,,,,,,,,,,,,,,,2.0,Nein,,,,,,,
30.05.25 21:50,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.",,Stifte; Larven; Verdeckelte Brut,,8,10,,,,,,,,,,,Drohnenbrutschneiden,,,,2.0,,,,2.0,Nein,,,,,,,
06.06.25 12:00,Volk 7,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,"11.05.2025 Ableger gebildet
25.06.2025 Neustart mit Königin aus Zuchtstoff von Belegstelle.","Volk jetzt auf 4 Rähmchen
Windelschieber raus",Stifte,,,,,1,,,,,,,,,,,,,,,,,1.0,Nein,,,,,,,
06.06.25 12:00,Volk 5,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,03.05.2025 Ableger gebildet,"Volk jetzt auf 8 Rähmchen
Windelschieber raus",Königin; Stifte; Larven; Verdeckelte Brut,,,,,1,,,,,,,,,,,,,,,,,1.0,Nein,,,,,,,
06.06.25 12:00,Volk 8,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Sonstiges,,"11.05.2025 Königinnenableger
Evtl 2025 still umgeweiselt?",Volk jetzt auf 5 Rähmchen,Stifte; Larven; Verdeckelte Brut,,,,,1,,,,,,,,,,,,,,,,,1.0,Nein,,,,,,,
06.06.25 12:00,Volk 6,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,03.05.2025 Ableger gebildet,"Königin gezeichnet
Volk jetzt auf 6 Rähmchen
Windelschieber raus",Königin; Stifte; Larven; Verdeckelte Brut,,,,,1,,,,,,,,,,,,,,,,,1.0,Nein,,,,,,,
06.06.25 12:00,Volk 3,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,im Juni 2025 vermutlich still umgeweiselt,keine Königin und keine Brut gesehen,,,,,,,,,,,,,,,,,,,,,,,2.0,Nein,,,,,,,
06.06.25 21:50,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.",2 Brutwaben für Volk4 entnommen,Stifte; Larven; Verdeckelte Brut,,8,10,,,-2,,,,,,,,,,,,2.0,,,,2.0,Nein,,,,,,,
06.06.25 22:30,Volk 4,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,vermutlich im Juni 2025 umgeweiselt,keine Königin und keine Brut gesehen,,,,,,,1,,,,,,,,,,,,,,,,2.0,Nein,,,,,,,
13.06.25 12:00,Volk 2,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,ca 30.05.2025 umgeweiselt,Königin gezeichnet,Stifte; Königin,,,,,,,,,,,,,,,,,,,,,,1.0,Nein,,,,,,,
13.06.25 12:00,Volk 5,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,03.05.2025 Ableger gebildet,Volk jetzt auf 10 Waben und in Wald gebracht,Stifte; Larven; Verdeckelte Brut,,,,,1,,,1,,,,,,,,,,,,,,,Nein,,,,,,,
13.06.25 12:00,Volk 8,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Sonstiges,,"11.05.2025 Königinnenableger
Evtl 2025 still umgeweiselt?",Volk auf 6 Rähmchen,Stifte; Larven; Verdeckelte Brut,,,,,1,,,,,,,,,,,,,,,,,1.0,Nein,,,,,,,
13.06.25 12:00,Volk 3,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,im Juni 2025 vermutlich still umgeweiselt,"Königin gezeichnet
Futterrahmen für Zuchtvolk entnommen",Stifte; Königin,,,,,,,-1,,,,,,,,,,,,,,,,Nein,,,,,,,
13.06.25 12:00,Volk 9,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,13.06.2025 Volk aus Zuchtstoff von Belegstelle,"Futterwabe aus Volk 3
Brutwabe aus Volk 1
Zuchtstoff von Belegstelle",,,,,,,1,1,,,,,,,,,,,,,,,,Nein,,,,,,,
13.06.25 21:50,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.",1 Brutrahmen für Zuchtvolk entnommen,Stifte; Larven; Verdeckelte Brut,,7,10,,,-1,,,,,,,,Drohnenbrutschneiden,,,,2.0,,,,2.0,Nein,,,,,,,
22.06.25 12:00,Volk 9,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,13.06.2025 Volk aus Zuchtstoff von Belegstelle,"noch relativ viel ungeschlüpfte Brut
4 Weiselzellen angenommen - leider aber beim Freischneiden eine Zelle zerstört...",,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,,
25.06.25 12:00,Volk 5,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,03.05.2025 Ableger gebildet,,,,,,,,-1,,,,,,,,,,,,,,,,,Nein,,,,,,,
25.06.25 12:00,Volk 7,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,"11.05.2025 Ableger gebildet
25.06.2025 Neustart mit Königin aus Zuchtstoff von Belegstelle.","Volk drohnenbrütig
aufgelöst und mit Königin und Brutwabe neu gestartet",,,,,,,1,,,,,,,,,,,,,,,,,Nein,,,,,,,
25.06.25 12:00,Volk 6,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,03.05.2025 Ableger gebildet,,Stifte; Larven; Verdeckelte Brut,,,,,3,,,,,,,,,,,,,,,,,,Nein,,,,,,,
25.06.25 12:00,Volk 10,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,"Volk mit Zuchtstoff von Belegstelle gestartet
Später mit Schwarm vom Legoland vereinigt.
im Winter kaputt gegangen.",Volk mit Königin von Zuchtlatte und Brutwabe gestartet,,,,,,,1,,,,,,,,,,,,,,,,,Nein,,,,,,,
25.06.25 12:00,Volk 9,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,13.06.2025 Volk aus Zuchtstoff von Belegstelle,"9c
Volk mit Königin von Zuchtlatte gestartet",,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,,
25.06.25 21:50,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.",Brutwabe für Ableger mit Zuchtstoff entnommen,,,,,,,-1,,,,,,,,,,,,,,,,,Nein,,,,,,,
26.06.25 12:00,Volk 4,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,vermutlich im Juni 2025 umgeweiselt,Honigzarge relativ gut,Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,,,,,,,,,2.0,Nein,,,,,,,
26.06.25 12:00,Volk 2,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,ca 30.05.2025 umgeweiselt,wenig Honig eingelagert,Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,,,,,,,,,2.0,Nein,,,,,,,
26.06.25 12:00,Volk 3,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,im Juni 2025 vermutlich still umgeweiselt,"Honigzarge ziemlich voll.
Zarge mit Gläsern aufgesetzt",Stifte; Königin; Larven; Verdeckelte Brut,,,,,,,,,,,,,,,,,,,,,,2.0,Nein,,,,,,,
26.06.25 12:00,Volk 8,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Sonstiges,,"11.05.2025 Königinnenableger
Evtl 2025 still umgeweiselt?",Zarge auf 7 Rähmchen ergänzt,Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,,,,,,,,,1.0,Nein,,,,,,,
26.06.25 21:50,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.","Honigraum Halbzarge unter Vollzarge gesetzt, da Vollzarge sehr voll",Stifte; Larven; Verdeckelte Brut,,5,8,,,,,,,,,,,Drohnenbrutschneiden,,,,,,,,,Nein,,,,,,,
06.07.25 12:00,Volk 10,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,"Volk mit Zuchtstoff von Belegstelle gestartet
Später mit Schwarm vom Legoland vereinigt.
im Winter kaputt gegangen.",9a,Stifte; Königin,,,,,,,,,,,,,,,,,,,,,,1.0,Nein,,,,,,,
06.07.25 12:00,Volk 8,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Sonstiges,,"11.05.2025 Königinnenableger
Evtl 2025 still umgeweiselt?",mit Rähmchen aufgefüllt,Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,,,,,,,,,1.0,Nein,,,,,,,
06.07.25 12:00,Volk 7,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,"11.05.2025 Ableger gebildet
25.06.2025 Neustart mit Königin aus Zuchtstoff von Belegstelle.",Viele junge Bienen,Stifte,,,,,,,,,,,,,,,,,,,,,,1.0,Nein,,,,,,,
06.07.25 12:00,Volk 4,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,vermutlich im Juni 2025 umgeweiselt,Honigraum relativ schwer,Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,Drohnenbrutschneiden,,,,,,,,1.0,Nein,,,,,,,
06.07.25 12:00,Volk 9,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,13.06.2025 Volk aus Zuchtstoff von Belegstelle,"noch etwas verdeckelte Brut
9c",Stifte,,,,,,,,,,,,,,,,,,,,,,1.0,Nein,,,,,,,
06.07.25 12:00,Volk 5,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,03.05.2025 Ableger gebildet,"2. Zarge aufgesetzt
Voll besetzt mit Rähmchen",Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,,,,,,,,,2.0,Nein,,,,,,,
06.07.25 12:00,Volk 6,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,03.05.2025 Ableger gebildet,"3,5 Rähmchen noch kaum besetzt",Stifte; Larven; Verdeckelte Brut; Königin,,,,,,,,,,,,,,,,,,,,,,1.0,Nein,,,,,,,
06.07.25 12:00,Volk 2,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,ca 30.05.2025 umgeweiselt,Honigraum so gut wie leer,Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,,,,,,,,,2.0,Nein,,,,,,,
06.07.25 12:00,Volk 3,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,im Juni 2025 vermutlich still umgeweiselt,"Honigraum schwer
Gläser im Honigraum nicht angenommen",Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,Drohnenbrutschneiden,,,,,,,,1.0,Nein,,,,,,,
06.07.25 22:00,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.",Honigraum schwer,Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,Drohnenbrutschneiden,,,,2.0,,,,1.0,Nein,,,,,,,
20.07.25 12:00,Volk 3,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,im Juni 2025 vermutlich still umgeweiselt,geschleuderte Zargen zum Putzen aufgesetzt,Stifte; Larven; Verdeckelte Brut,,,,,,,,1,,,,,,,,,,2.0,,,,2.0,Ja,,,,,,,
20.07.25 12:00,Volk 7,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,"11.05.2025 Ableger gebildet
25.06.2025 Neustart mit Königin aus Zuchtstoff von Belegstelle.",,Stifte; Larven; Verdeckelte Brut,,,,,2,,,,,,,,,,,,,0.0,,,,,Nein,,,,,,,
20.07.25 12:00,Volk 5,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,03.05.2025 Ableger gebildet,,Stifte; Larven; Verdeckelte Brut,,,,,,,,1,,,,,,,,,,2.0,,,,2.0,Nein,,,,,,,
20.07.25 12:00,Volk 8,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Sonstiges,,"11.05.2025 Königinnenableger
Evtl 2025 still umgeweiselt?",,Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,,,,,0.0,,,,,Nein,,,,,,,
20.07.25 12:00,Volk 10,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,"Volk mit Zuchtstoff von Belegstelle gestartet
Später mit Schwarm vom Legoland vereinigt.
im Winter kaputt gegangen.",Volk von Legoland Drachenburg geholt,,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,,
20.07.25 12:00,Volk 2,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,ca 30.05.2025 umgeweiselt,,Stifte; Larven; Verdeckelte Brut,,,,,,,,1,,,,,,,,,,1.0,,,,2.0,Ja,,,,,,,
20.07.25 12:00,Volk 4,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,vermutlich im Juni 2025 umgeweiselt,,Stifte; Larven; Verdeckelte Brut,,,,,,,,1,,,,,,,,,,2.0,,,,2.0,Ja,,,,,,,
20.07.25 12:00,Volk 6,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,03.05.2025 Ableger gebildet,,Stifte; Larven; Verdeckelte Brut,,,,,2,,,,,,,,,,,,,0.0,,,,,Nein,,,,,,,
20.07.25 22:00,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.","Drohnenrahmen entfernt 
Honigrähmchen zum Putzen aufgesetzt",Stifte; Larven; Verdeckelte Brut,,4,8,,,,,,,,,,,Drohnenbrutschneiden,,,,2.0,,,,1.0,Ja,,,Sommertracht,,,,
26.07.25 12:00,Volk 8,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Sonstiges,,"11.05.2025 Königinnenableger
Evtl 2025 still umgeweiselt?",Futter in Futtertasche gegeben,,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,Invertzuckersirup,1.4,,
26.07.25 12:00,Volk 2,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,ca 30.05.2025 umgeweiselt,Leerzarge für Fütterung aufgesetzt,,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,Invertzuckersirup,1.4,,
26.07.25 12:00,Volk 5,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,03.05.2025 Ableger gebildet,Leerzarge für Fütterung aufgesetzt,,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,Invertzuckersirup,1.2,,
26.07.25 12:00,Volk 7,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,"11.05.2025 Ableger gebildet
25.06.2025 Neustart mit Königin aus Zuchtstoff von Belegstelle.",,,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,,
26.07.25 12:00,Volk 10,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,"Volk mit Zuchtstoff von Belegstelle gestartet
Später mit Schwarm vom Legoland vereinigt.
im Winter kaputt gegangen.","Futter in Futtertasche gegeben.
Volk mit Legolandvolk vereinigt",,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,Invertzuckersirup,1.4,,
