Datum des Eintrags,Stockname,Standortname,Brutraumzargenformat,Honigraumzargenformat,Beutentyp,Stocktyp,Position am Stand,Notizen Stock,Notizen Eintrag,Sichtungen,Weiselzellen,Bebrütete Waben,Besetzte Waben,Zählmethode,Gezählte Milben,Zählzeitraum (Tage),Medikament,Anwendungsmethode,Biotechnische Maßnahme,Medikamentenmenge,Behandlungsdauer,Behandelnde Person,Bewertung Volksstärke,Bewertung Sanftmut,Bewertung Schwarmtrieb,Bewertung Wabensitz,Bewertung Futtermenge,Ernte,Ernte Rähmchenanzahl,Geerntete Menge (kg),Honigtyp,Futtertyp,Futtermenge,Gewicht,Wiegemethode
14.04.25 12:00,Volk 3,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,,,,"
Drohnenrahmen in unterer Brutzarge eingesetzt
Honigraum ungenutzt
Viel Gemüll
Kirsche, Birne, Zwetschge blühen - Raps beginnt zu blühen
Mittags wurde Raps gespritzt",Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,,,,2.0,Nein,,,,,,,
14.04.25 12:00,Volk 2,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,,"Drohnenrahmen in unterer Brutzarge eingesetzt
Honigraum ungenutzt
Viel Gemüll
Kirsche, Birne, Zwetschge blühen - Raps beginnt zu blühen
Mittags wurde Raps gespritzt",Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,,,,2.0,Nein,,,,,,,
14.04.25 21:40,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,"Eine Futterwabe für Drohnenrahmen entnommen
Nur auslaufende Brut
Bis auf eine Weiselzelle alle zerstört
",Verdeckelte Brut; Weiselzellen,,2,6,,,,,,,,,,1.0,,,,2.0,Nein,,,,,,,
19.04.25 12:00,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,"nicht reingeschaut
Apfelbaum im Garten beginnt zu blühen",,,,,,,,,,,,,,,,,,,Nein,,,,,,,
19.04.25 12:00,Volk 2,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,,"Drohnenrahmen von unterem Brutraum in oberen Brutraum gesetzt
Honigraum nicht angenommen
Apfelbaum im Garten beginnt zu blühen",Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,,,,2.0,Nein,,,,,,,
19.04.25 12:00,Volk 4,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,,,,"Drohnenrahmen von unterer Brutzarge in obere gesetzt
Honigraum wenig angenommen
Apfelbaum im Garten beginnt zu blühen",Stifte; Larven; Verdeckelte Brut; Königin,,,,,,,,,,,,,,,,,,Nein,,,,,,,
19.04.25 12:00,Volk 3,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,,,,"Drohnenrahmen von unterem Brutraum in oberen gesetzt
Honigraum nicht angenommen
Apfelbaum beginnt zu blühen",Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,,,,2.0,Nein,,,,,,,
27.04.25 12:00,Volk 4,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,,,,"Brutwabe für Volk 1 entnommen
luftdurchlässige Folie über Honigraum eingesetzt, da sehr viel Feuchtigkeit im Stock",Stifte; Larven; Verdeckelte Brut,,,,,,,,,Drohnenbrutschneiden,,,,,,,,3.0,Nein,,,,,,,
27.04.25 12:00,Volk 2,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,,"2. Halbzarge aufgesetzt
luftdurchlässige Folie über Honigraum, da sehr viel Feuchtigkeit im Stock",Stifte; Larven; Verdeckelte Brut,,,,,,,,,Drohnenbrutschneiden,,,,,,,,2.0,Nein,,,,,,,
27.04.25 12:00,Volk 3,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,,,,"Viel Honig in beiden Brutzargen
Honigraum leicht angenommen
luftdurchlässige Folie über Honigraum, da viel Feuchtigkeit im Stock",Stifte; Larven; Verdeckelte Brut,,,,,,,,,Drohnenbrutschneiden,,,,,,,,3.0,Nein,,,,,,,
27.04.25 21:30,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,"Keine frische Brut
Brutwabe aus Volk 4 als Weiselprobe gegeben
Drohnenrahmen leer
Honigraum nicht angenommen - entfernt 
Absperrgitter zwischen oberer und unterer Vollzarge eingesetzt
Sehr viel Feuchtigkeit im Stock - luftdurchlässige Abdeckung eingesetzt",,,,5,,,,,,,,,,1.0,,,,2.0,Nein,,,,,,,
03.05.25 12:00,Volk 2,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,,"Nur Kippkontrolle
Spielnäpfchen entfernt
Drohnenrahmen gut ausgebaut
Honigraum gut angenommen",Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,,,,,Nein,,,,,,,
03.05.25 12:00,Volk 4,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,,,,"Brutwabe mit Weiselzelle für Ableger 6 entnommen
Weiselzellen zerstört
Drohnenrahmen gut ausgebaut, nicht geschnitten
Honigraum ok",Stifte; Larven; Verdeckelte Brut; Weiselzellen,,,,,,,,,,,,,,,,,2.0,Nein,,,,,,,
03.05.25 12:00,Volk 6,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,,,,"Ableger mit 1 Futter- und 1 Brutwabe aus Volk 4 gebildet
Volk nach Hause genommen",,,,,,,,,,,,,,,,,,,Nein,,,,,,,
03.05.25 12:00,Volk 3,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,,,,"Sehr viel Honig in Brutraum2
2 Brutwaben für Ableger 5 ohne Weiselzelle entnommen
Weiselzellen entfernt
Drohnenrahmen gut ausgebaut
Honigraum wenig eingelagert
Honigwaben in 1. Brutraum umgesetzt, in der Hoffnung, dass Brut in Brutraum 2 ""verlagert"" wird",Stifte; Larven; Verdeckelte Brut; Weiselzellen,,,,,,,,,,,,,,,,,3.0,Nein,,,,,,,
03.05.25 13:00,Volk 5,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,,,,"1 Futterwabe und 2 Brutwaben aus Volk genommen und Ableger gebildet
Volk mit nach Hause genommen",,,,,,,,,,,,,,,,,,,Nein,,,,,,,
11.05.25 12:00,Volk 4,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,,,,"Königin für Königinnenableger - Ableger 8 - entnommen
1 Futter- und 1 Brutwabe für Ableger 8 entnommen
Honigraum gut
Weiselzellen bis auf 2 zerstört",Königin; Stifte; Larven; Verdeckelte Brut; Weiselzellen,,,,,,,,,,,,,,,,,2.0,Nein,,,,,,,
11.05.25 12:00,Volk 2,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,,"Viel Honigwaben in 2. Brutraum
1 Futterwabe für Ableger 7 entnommen
1 Brutwabe mit Weiselzelle für Ableger 7 entnommen
Honigraum 50%
Schieber entnommen, da unter Deckel nass und schimmelig",Stifte; Larven; Verdeckelte Brut; Weiselzellen,,,,,,,,,Drohnenbrutschneiden,,,,2.0,,,,2.0,Nein,,,,,,,
11.05.25 12:00,Volk 3,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,,,,"Viel Honigwaben in 2. Brutraum
Weiselzellen zerstört
Honigraum eher schwach eingetragen",Stifte; Larven; Verdeckelte Brut; Weiselzellen,,,,,,,,,Drohnenbrutschneiden,,,,,,,,,Nein,,,,,,,
11.05.25 12:00,Volk 7,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,,,,Ableger 7 mit Futter- und Brutwabe gebildet und nach Hause genommen,,,,,,,,,,,,,,,,,,,Nein,,,,,,,
11.05.25 12:00,Volk 8,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,,,,Ableger 8 mit Futter- und Brutwabe aus Volk 4 gebildet - Königinnenableger,,,,,,,,,,,,,,,,,,,Nein,,,,,,,
17.05.25 12:00,Volk 2,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,,"Weiselzellen zerstört
Honigraum ca 20%
unter Deckel schimmelig - Schieber entfernt",Stifte; Larven; Verdeckelte Brut; Weiselzellen,,,,,,,,,,,,,,,,,2.0,Nein,,,,,,,
17.05.25 12:00,Volk 8,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,,,,"vor 1 Woche dieses Volk mit Königinnenableger gebildet
wenig Brut",Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,0.0,,,,2.0,Nein,,,,,,,
17.05.25 12:00,Volk 3,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,,,,"Honigraum max 20%
Weiselzellen zerstört
Unter Deckel schimmelig - Schieber entfernt",Stifte; Larven; Verdeckelte Brut; Weiselzellen,,,,,,,,,,,,,,,,,2.0,Nein,,,,,,,
17.05.25 13:00,Volk 4,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,,,,"4 Weiselzellen gelassen verdeckelt vorhanden
Honigraum wenig eingetragen
unter Deckel schimmelig - Schieber entfernt",Verdeckelte Brut; Weiselzellen,,,,,,,,,,,,,,,,,2.0,Nein,,,,,,,
17.05.25 21:40,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,Honigraum Halbzarge gegeben da voll,Stifte; Larven; Verdeckelte Brut,,2,5,,,,,,,,,,,,,,,Nein,,,,,,,
24.05.25 12:00,Volk 8,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,,,,"Königin ohne Kennzeichnung gesehen...
Alte Marke verloren, oder still umgeweiselt?
wenig Brut und Eier",Königin; Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,,,,,Nein,,,,,,,
24.05.25 12:00,Volk 6,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,,,,"Königin gekennzeichnet
Volk auf 2 Futterwaben und 4 Brutwaben",Königin,,,,,,,,,,,,,,,,,1.0,Nein,,,,,,,
24.05.25 12:00,Volk 3,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,,,,Honigraum Halbzarge,,,,,,,,,,,,,,,,,,,Ja,5,,Frühtracht,,,,
24.05.25 12:00,Volk 5,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,,,,"Königin gekennzeichnet
Volk auf 2 Futterwaben und 5 Brutwaben",Königin; Stifte,,,,,,,,,,,,,,,,,,Nein,,,,,,,
24.05.25 12:00,Volk 4,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,,,,,,,,,,,,,,,,,,,,,,,Ja,5,,Frühtracht,,,,
24.05.25 12:00,Volk 2,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,,"Honigraum Halbzarge
Brutraum 1 und 2 getauscht, da extrem viel Honig im Brutraum",,,,,,,,,,,,,,,,,,,Ja,7,,Frühtracht,,,,
24.05.25 21:40,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,,,,,,,,,,,,,,,,,,,,Ja,7,,Frühtracht,,,,
